Condition,Rep 1,Rep 2,Rep 3,Average RELN / DAPI Area
GelMA_HC,0.038227305,0.172701898,0.029374658,0.080101287
GelMA_HC,0.001659029,0.000335326,0.001354612,0.001116322
GelMA_HC,0.021906071,0.033234722,0.02685503,0.027331941
GelMA_HC,0.017098737,0.025282093,0.016786371,0.0197224
GelMA_LC,0.064568491,0.039433708,0.031522221,0.045174806
GelMA_LC,0.161660473,0.086900268,0.057265156,0.101941966
GelMA_LC,0.111082939,0.111286156,0.098479856,0.10694965
GelMACad_HC,0.084228217,0.108503209,0.075460776,0.089397401
GelMACad_HC,0.118316064,0.088804097,0.102322134,0.103147432
GelMACad_HC,0.082936922,0.058984705,0.050282788,0.064068138
GelMACad_LC,0.316615859,0.411533837,0.411355317,0.379835004
GelMACad_LC,0.018381245,0.023780308,0.034221916,0.025461156
GelMACad_LC,0.170790059,0.163979653,0.211970697,0.182246803
Matrigel,0.027569183,0.034312958,0.061929567,0.041270569
Matrigel,0.004706742,0.00994232,0.022054343,0.012234468
Matrigel,0.007961672,0.068720758,0.088842917,0.055175116
