Label,Image,"Length (um), measurement 1","Length (um), measurement 2","Length (um), measurement 3","Length (um), measurement 4",Average Length (um),Hydrogel,LAP Concentration,Matrix
36,Stack-1:GelMACad_4_mg.nd2,78.1,72.73,38.56,62.57,62.99,GelMACad,4,GelMACad (soft)
40,Stack-1:GelMACad_4_mg001.nd2,136.98,106.7,36.57,63.95,86.05,GelMACad,4,GelMACad (soft)
44,Stack-1:GelMACad_4_mg002.nd2,40.58,64.25,48.25,45.1,49.545,GelMACad,4,GelMACad (soft)
48,Stack-1:GelMACad_4_mg003.nd2,54.42,31.11,44.34,31.98,40.4625,GelMACad,4,GelMACad (soft)
52,Stack-1:GelMACad_4_mg004.nd2,52.17,50.17,30.02,32.67,41.2575,GelMACad,4,GelMACad (soft)
56,Stack-1:GelMACad_4_mg005.nd2,57.87,56.27,56.35,30.88,50.3425,GelMACad,4,GelMACad (soft)
60,Stack-1:GelMACad_4_mg006.nd2,130.71,51.99,79.21,67.89,82.45,GelMACad,4,GelMACad (soft)
96,Stack-1:GelMACad_10_mg.nd2,70.4,48.41,61.61,50.61,57.7575,GelMACad,10,GelMACad (stiff)
100,Stack-1:GelMACad_10_mg001.nd2,96.81,52.64,48.11,46.69,61.0625,GelMACad,10,GelMACad (stiff)
104,Stack-1:GelMACad_10_mg002.nd2,26.85,25.32,48.3,29.04,32.3775,GelMACad,10,GelMACad (stiff)
108,Stack-1:GelMACad_10_mg003.nd2,61.69,34.44,25.08,42.96,41.0425,GelMACad,10,GelMACad (stiff)
112,Stack-1:GelMACad_10_mg004.nd2,69.47,48.05,61.57,45.3,56.0975,GelMACad,10,GelMACad (stiff)
116,Stack-1:GelMACad_10_mg005.nd2,61.61,42.9,44.12,27.5,44.0325,GelMACad,10,GelMACad (stiff)
120,Stack-1:GelMACad_10_mg006.nd2,68.2,73.77,74.8,69.3,71.5175,GelMACad,10,GelMACad (stiff)
1,Stack-1:GelMA_0_GelMACad_4_mg_LAP_side_A.nd2 - C=0,49.01,26.28,35.81,60.05,42.7875,GelMA,4,GelMA (soft)
31,Stack-1:GelMA_0_GelMACad_10_mg_LAP.nd2 - C=0,92.56,103.48,73.27,76.37,86.42,GelMA,10,GelMA (stiff)
