Condition,Prop RG-3,Prop MC,day,matrix
D90 Matrigel,0.106835307,0.009620031,90,Matrigel
D120 Matrigel,0.123345367,0.092130518,120,Matrigel
D90 GelMA-Cad_LC,0.009320388,0.039240708,90,GelMA-Cad_LC
D120 GelMA-Cad_LC,0.006247397,0.002050681,120,GelMA-Cad_LC
D90 GelMA-Cad_HC,0.029396529,0.165110634,90,GelMA-Cad_HC
D120 GelMA-Cad_HC,0.006283662,0.002552377,120,GelMA-Cad_HC
D90 GelMA_LC,0.457537467,0.310923525,90,GelMA_LC
D120 GelMA_LC,0.2300123,0.164371773,120,GelMA_LC
D90 GelMA_HC,0.372422159,0.335101254,90,GelMA_HC
D120 GelMA_HC,0.329268293,0.42804115,120,GelMA_HC
