Condition,Sample,Average Loss Modulus,Average Storage Modulus
GelMA_HC,GelMA_HC_4,15.00863636,215.2363636
GelMA_HC,GelMA_HC_5,11.69033636,168.1272727
GelMA_HC,GelMA_HC_1,10.83072727,235.9909091
GelMA-Cad_HC,GelMA-Cad_HC_1,19.62636364,215.7818182
GelMA-Cad_LC,GelMA-Cad_LC_3,7.917181818,67.29818182
GelMA-Cad_LC,GelMA-Cad_LC_2,6.410181818,45.51454545
GelMA-Cad_LC,GelMA-Cad_LC_1,7.084363636,91.07
GelMA_LC,GelMA_LC_2,10.61190909,92.15636364
GelMA-Cad_HC,GelMA-Cad_HC_3,10.53072727,120.61
GelMA-Cad_HC,GelMA-Cad_HC_2,15.84727273,138.5236364
GelMA_LC,GelMA_LC_1,7.760727273,54.41545455
GelMA_LC,GelMA_LC_3,8.064090909,64.61181818
GelMA_LC,GelMA_LC_d2_2,9.405090909,158.3818182
GelMA-Cad_LC,GelMA-Cad_LC_d2_1,10.20363636,98.15272727
GelMA-Cad_HC,GelMA-Cad_HC_d2_2,11.78209091,147.4954545
GelMA_LC,GelMA_LC_d2_3,7.495090909,79.55090909
GelMA_HC,GelMA_HC_d2_1,29.82818182,358.7727273
GelMA_HC,GelMA_HC_d2_2,13.56372727,183.2272727
GelMA-Cad_HC,GelMA-Cad_HC_d2_1,17.63363636,169.7454545
GelMA-Cad_LC,GelMA-Cad_LC_d2_2,8.772727273,88.18272727
